ae,stratum,stratum_order,c_index,ci_low,ci_high,n_samples,n_events,p_value,is_baseline,baseline_group,included_in_figure,status
adrenal_insufficiency,Line 1,1,0.8729163633716698,0.7960084992508859,0.9395838183158264,4865,34,,True,Line 1,True,ok
adrenal_insufficiency,Line 2,2,0.8252015853491869,0.700772079665832,0.919349584834471,2719,16,0.4336842105263158,False,Line 1,True,ok
adrenal_insufficiency,Line 3,3,,,,1556,7,,False,Line 1,True,insufficient_events_or_failed_cindex
adrenal_insufficiency,Line 4+,4,,,,2881,4,,False,Line 1,True,insufficient_events_or_failed_cindex
colitis,Line 1,1,0.7118534019126591,0.6650838226942324,0.7603672554367819,7845,149,,True,Line 1,True,ok
colitis,Line 2,2,0.7350002305883077,0.6674066460427464,0.7957634131277231,4322,60,0.572,False,Line 1,True,ok
colitis,Line 3,3,0.6786952563581072,0.5861492489317112,0.7747510682807878,2395,31,0.552,False,Line 1,True,ok
colitis,Line 4+,4,0.6700795776362495,0.5528218606148945,0.7869054316517867,4050,31,0.56,False,Line 1,True,ok
hypothyroidism,Line 1,1,0.7799263156900962,0.7562453049757314,0.8003020889405507,9079,482,,True,Line 1,True,ok
hypothyroidism,Line 2,2,0.7681467683746336,0.7306453850554013,0.8036748944393778,4857,188,0.644,False,Line 1,True,ok
hypothyroidism,Line 3,3,0.7601470699199484,0.7004801920715678,0.8196706179691948,2702,88,0.488,False,Line 1,True,ok
hypothyroidism,Line 4+,4,0.7116396677091942,0.658736103039177,0.7667666784328367,4551,89,0.044,False,Line 1,True,ok
liver_toxicity,Line 1,1,0.6478320254751071,0.6311927382950211,0.6663728130355071,9997,1136,,True,Line 1,True,ok
liver_toxicity,Line 2,2,0.6470720064182269,0.6172758254425953,0.6748378782311175,5204,440,0.976,False,Line 1,True,ok
liver_toxicity,Line 3,3,0.6231129252696195,0.5828074520129795,0.659044767046942,2869,200,0.268,False,Line 1,True,ok
liver_toxicity,Line 4+,4,0.631426579763689,0.5966890851459999,0.666861801842653,4493,225,0.444,False,Line 1,True,ok
pneumonitis,Line 1,1,0.7483057844636094,0.7071119467652341,0.7865772111921643,7790,186,,True,Line 1,True,ok
pneumonitis,Line 2,2,0.7213800491997366,0.6624462987414751,0.7762626401535528,4349,106,0.44,False,Line 1,True,ok
pneumonitis,Line 3,3,0.7346004676894998,0.6636383239585105,0.7958151351911831,2476,45,0.708,False,Line 1,True,ok
pneumonitis,Line 4+,4,0.7029728876951847,0.6221272591947381,0.774060697709766,4074,58,0.244,False,Line 1,True,ok
