ae,stratum,stratum_order,c_index,ci_low,ci_high,n_samples,n_events,p_value,is_baseline,baseline_group,included_in_figure,status
adrenal_insufficiency,PD-(L)1,1,0.7596104283660237,0.6769487284585682,0.826415078744684,1393,38,,True,PD-(L)1,True,ok
adrenal_insufficiency,CTLA-4,2,0.4993732765104036,0.3862562562537186,0.6084739145225136,267,21,0.0,False,PD-(L)1,True,ok
adrenal_insufficiency,Biologic,3,0.7078682778341482,0.574406550798786,0.8586212965055549,1771,10,0.6539923954372624,False,PD-(L)1,True,ok
adrenal_insufficiency,Hormonal,4,,,,3521,7,,False,PD-(L)1,True,insufficient_events_or_failed_cindex
adrenal_insufficiency,Chemotherapy,5,0.7828321919536942,0.7099830583751626,0.8641398519259127,6307,14,0.6460176991150443,False,PD-(L)1,True,ok
adrenal_insufficiency,Targeted,6,0.7681027138858464,0.6270357834614413,0.8675744169030243,1817,13,0.8840579710144928,False,PD-(L)1,True,ok
adrenal_insufficiency,Other,7,,,,254,0,,False,PD-(L)1,True,insufficient_events_or_failed_cindex
colitis,PD-(L)1,1,0.6683014775466785,0.6123810608129473,0.7214403326586036,2060,104,,True,PD-(L)1,True,ok
colitis,CTLA-4,2,0.5377114661654135,0.4450121170503488,0.6182610438513472,351,34,0.02,False,PD-(L)1,True,ok
colitis,Biologic,3,0.6709152126228753,0.600110508974745,0.7440257736057525,3035,53,0.864,False,PD-(L)1,True,ok
colitis,Hormonal,4,0.6399409989488318,0.5214477423884721,0.7643693766952463,4063,27,0.724,False,PD-(L)1,True,ok
colitis,Chemotherapy,5,0.6030467498646017,0.5521585515420698,0.6490415891931784,11153,147,0.092,False,PD-(L)1,True,ok
colitis,Targeted,6,0.7510732641338305,0.6568579900226246,0.8353664432567232,2779,55,0.108,False,PD-(L)1,True,ok
colitis,Other,7,,,,378,2,,False,PD-(L)1,True,insufficient_events_or_failed_cindex
hypothyroidism,PD-(L)1,1,0.6951642855829518,0.6629586714916168,0.724028715694301,2269,336,,True,PD-(L)1,True,ok
hypothyroidism,CTLA-4,2,0.6858998243466227,0.6088678194625068,0.7486468968841264,407,66,0.78,False,PD-(L)1,True,ok
hypothyroidism,Biologic,3,0.7188564841237999,0.6748781131277618,0.7599068533907881,3316,147,0.4,False,PD-(L)1,True,ok
hypothyroidism,Hormonal,4,0.7217021883532336,0.668049347487135,0.7726143554995426,4607,104,0.488,False,PD-(L)1,True,ok
hypothyroidism,Chemotherapy,5,0.6916391854893396,0.6639829147861199,0.7223039582154538,12701,390,0.916,False,PD-(L)1,True,ok
hypothyroidism,Targeted,6,0.7729320644762139,0.7374768975069761,0.8052376153000282,3088,272,0.0,False,PD-(L)1,True,ok
hypothyroidism,Other,7,,,,464,6,,False,PD-(L)1,True,insufficient_events_or_failed_cindex
liver_toxicity,PD-(L)1,1,0.6380456054903697,0.6061404366748648,0.6690281864635785,2432,336,,True,PD-(L)1,True,ok
liver_toxicity,CTLA-4,2,0.6268234902954989,0.5647080966527637,0.6778654416013776,441,75,0.74,False,PD-(L)1,True,ok
liver_toxicity,Biologic,3,0.6270056051942766,0.5976264592483704,0.6571239589138494,3560,390,0.584,False,PD-(L)1,True,ok
liver_toxicity,Hormonal,4,0.6960055123742533,0.6666226723979743,0.7219728177858655,4496,325,0.0,False,PD-(L)1,True,ok
liver_toxicity,Chemotherapy,5,0.6440649337326055,0.6268042975148529,0.661090309340241,13812,1347,0.776,False,PD-(L)1,True,ok
liver_toxicity,Targeted,6,0.6058875293812598,0.5797217135274119,0.6321519217266615,3375,503,0.176,False,PD-(L)1,True,ok
liver_toxicity,Other,7,0.6449381327334083,0.5323144695006632,0.7592182069045146,468,28,0.852,False,PD-(L)1,True,ok
pneumonitis,PD-(L)1,1,0.6366593735605711,0.5820838108431249,0.6963668578512906,1972,131,,True,PD-(L)1,True,ok
pneumonitis,CTLA-4,2,0.6412213740458015,0.45516235578772574,0.7837796922663617,344,13,0.9691211401425178,False,PD-(L)1,True,ok
pneumonitis,Biologic,3,0.6396178603675764,0.565582463816417,0.7069183191380264,2981,72,0.988,False,PD-(L)1,True,ok
pneumonitis,Hormonal,4,0.7888288069344026,0.6655060058095378,0.876216692787385,4347,40,0.02,False,PD-(L)1,True,ok
pneumonitis,Chemotherapy,5,0.6986734789831677,0.6527092113804419,0.7399094481763734,11259,217,0.1,False,PD-(L)1,True,ok
pneumonitis,Targeted,6,0.6454948682242508,0.5825719739136818,0.7061098633082749,2583,103,0.8,False,PD-(L)1,True,ok
pneumonitis,Other,7,,,,382,1,,False,PD-(L)1,True,insufficient_events_or_failed_cindex
