ae,model_label,model_type,c_index,delta_vs_base,p_value_vs_base,p_value_vs_base_fdr,n_samples,n_events,paired_n,pairing_method,status
adrenal_insufficiency,base,base,0.8625526941859009,0.0,,,12021,61,12021,self,ok
adrenal_insufficiency,+labs,base+labs,0.8496973997245294,-0.012855294461371458,0.46,0.6272727272727273,12021,61,12021,positional,ok
adrenal_insufficiency,"+tumor
genomics",base+genomics,0.8731270086397596,0.010574314453858702,0.4,0.6,12021,61,12021,positional,ok
adrenal_insufficiency,"+tumor
genomics
+labs",base+labs+genomics,0.8553508076297007,-0.007201886556200132,0.64,0.7999999999999999,12021,61,12021,positional,ok
colitis,base,base,0.7140273623261361,0.0,,,18612,271,18612,self,ok
colitis,+labs,base+labs,0.6847102451116867,-0.029317117214449406,0.04,0.08571428571428572,18612,271,18612,positional,ok
colitis,"+tumor
genomics",base+genomics,0.7121372758416198,-0.0018900864845162735,0.76,0.8142857142857143,18612,271,18612,positional,ok
colitis,"+tumor
genomics
+labs",base+labs+genomics,0.6827415039603367,-0.031285858365799335,0.02,0.049999999999999996,18612,271,18612,positional,ok
hypothyroidism,base,base,0.7753968904397509,0.0,,,21189,847,21189,self,ok
hypothyroidism,+labs,base+labs,0.7652756443399843,-0.010121246099766612,0.0,0.0,21189,847,21189,positional,ok
hypothyroidism,"+tumor
genomics",base+genomics,0.7752095906831988,-0.00018729975655207287,0.76,0.8142857142857143,21189,847,21189,positional,ok
hypothyroidism,"+tumor
genomics
+labs",base+labs+genomics,0.7647352569736787,-0.010661633466072185,0.0,0.0,21189,847,21189,positional,ok
liver_toxicity,base,base,0.6528866970715214,0.0,,,22563,2001,22563,self,ok
liver_toxicity,+labs,base+labs,0.6746139775807063,0.021727280509184932,0.0,0.0,22563,2001,22563,positional,ok
liver_toxicity,"+tumor
genomics",base+genomics,0.6527577019828312,-0.00012899508869013143,0.98,0.98,22563,2001,22563,positional,ok
liver_toxicity,"+tumor
genomics
+labs",base+labs+genomics,0.674221320751432,0.02133462367991068,0.0,0.0,22563,2001,22563,positional,ok
pneumonitis,base,base,0.7350893569702878,0.0,,,18689,395,18689,self,ok
pneumonitis,+labs,base+labs,0.7199068137873623,-0.015182543182925445,0.06,0.11249999999999999,18689,395,18689,positional,ok
pneumonitis,"+tumor
genomics",base+genomics,0.7429014249832049,0.007812068012917117,0.0,0.0,18689,395,18689,positional,ok
pneumonitis,"+tumor
genomics
+labs",base+labs+genomics,0.7233185185120683,-0.011770838458219468,0.14,0.23333333333333334,18689,395,18689,positional,ok
