panel_set,ae,panel_order,subset,c_index,ci_low,ci_high,n_samples,n_events,status
A,liver_toxicity,1,ICI,0.6399309320917759,0.6172621635940526,0.6585332245497006,2491,339,ok
A,liver_toxicity,1,Non-ICI,0.6500429741475365,0.6376074960208247,0.6623433266253697,20072,1662,ok
A,hypothyroidism,2,ICI,0.6970162657713053,0.6697945221242665,0.7248486245109036,2336,342,ok
A,hypothyroidism,2,Non-ICI,0.7133177790251354,0.6868574032716908,0.7348224981723165,18853,505,ok
A,pneumonitis,3,ICI,0.6424323957673872,0.586272821765022,0.6896487159641099,2017,131,ok
A,pneumonitis,3,Non-ICI,0.7039516449222855,0.6580828561786819,0.7388845110634237,16672,264,ok
A,colitis,4,ICI,0.6629777178018685,0.6134154869119989,0.7089142377881023,2119,108,ok
A,colitis,4,Non-ICI,0.6470351391904914,0.5925821220630627,0.6958984633486173,16493,163,ok
A,adrenal_insufficiency,5,ICI,0.7575028833648254,0.6854626605816883,0.8277175431526629,1435,41,ok
A,adrenal_insufficiency,5,Non-ICI,0.7702920623544167,0.6734914035508516,0.8575927420565013,10586,20,ok
B,all,1,ICI,0.6153026946112362,0.5909306762369819,0.6351087892372546,2466,817,ok
B,all,1,Non-ICI,0.6322825421047958,0.621621258180482,0.6426690046629517,20212,2429,ok
C,all,1,ICI,0.5608877464810826,0.5229424470983227,0.5987986969169853,2411,269,ok
C,all,1,Non-ICI,0.6737785553979065,0.6571644600871613,0.692724148504068,19362,813,ok
