panel_set,ae,subset,p_value,n_samples_low,n_samples_medium,n_samples_high,n_events_low,n_events_medium,n_events_high,status
A,liver_toxicity,ICI,1.0541901649956177e-14,830.0,830.0,831.0,52.0,105.0,182.0,ok
A,liver_toxicity,Non-ICI,7.710356561959457e-82,6691.0,6690.0,6691.0,258.0,480.0,924.0,ok
A,hypothyroidism,ICI,5.509616469874522e-26,779.0,778.0,779.0,59.0,84.0,199.0,ok
A,hypothyroidism,Non-ICI,3.227394248218053e-40,6284.0,6284.0,6285.0,56.0,135.0,314.0,ok
A,pneumonitis,ICI,9.964496000698057e-06,672.0,672.0,673.0,27.0,38.0,66.0,ok
A,pneumonitis,Non-ICI,8.217662086620415e-23,5557.0,5557.0,5558.0,30.0,66.0,168.0,ok
A,colitis,ICI,1.3456843258624875e-05,706.0,706.0,707.0,17.0,35.0,56.0,ok
A,colitis,Non-ICI,1.0812247685942817e-09,5498.0,5497.0,5498.0,27.0,43.0,93.0,ok
A,adrenal_insufficiency,ICI,8.766954316811859e-06,478.0,478.0,479.0,4.0,10.0,27.0,ok
A,adrenal_insufficiency,Non-ICI,0.0017959193687310082,3529.0,3528.0,3529.0,2.0,4.0,14.0,ok
B,all,ICI,1.9557262643609095e-26,822.0,822.0,822.0,158.0,275.0,384.0,ok
B,all,Non-ICI,1.1311184522665149e-99,6737.0,6737.0,6738.0,370.0,740.0,1319.0,ok
C,all,ICI,0.001070867803924546,804.0,803.0,804.0,76.0,76.0,117.0,ok
C,all,Non-ICI,4.675908421023553e-54,6454.0,6454.0,6454.0,86.0,277.0,450.0,ok
